Reference,Purpose,Name,,,,,Price (CAD),Quantity,Total price (CAD),Link
D1,LED red,XLUR61D,,,,,0.5,1,0.5,https://www.digikey.ca/en/products/detail/sunled/XLUR61D/4901655
"R6, R5, R4",Resistor 10K,RMCF0805FT10K0,,,,,0.15,3,0.45,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0805FT10K0/1760676
"SW1, SW2, SW3",Button,SKRPACE010,,,,,0.33,3,0.99,https://www.digikey.ca/en/products/detail/alps-alpine/SKRPACE010/18115579
U1,XIAO Esp32C3,113991054,,,,,7.68,1,7.68,https://www.digikey.ca/en/products/detail/seeed-technology-co-ltd/113991054/16652880
U2,DM-OLED,DM-OLED096-636:MODULE_DM-OLED096-636,,,,,3.56,1,3.56,https://www.aliexpress.com/item/1005006141235306.html?spm=a2g0o.productlist.main.2.744d0wIL0wILst&algo_pvid=16432659-c937-4d14-9f6f-96cc24a70781&algo_exp_id=16432659-c937-4d14-9f6f-96cc24a70781-1&pdp_ext_f=%7B%22order%22%3A%2224115%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.56%211.61%21%21%2117.32%217.83%21%40210319b017764647520774994e248b%2112000035944225407%21sea%21CA%214442731960%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af7556b37%3Bm03_new_user%3A-29895%3BpisId%3A5000000203720077&curPageLogUid=tlEUFMdz81ZN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006141235306%7C_p_origin_prod%3A
"R1, R2, R3",Resistor 1K,CRCW08051K00FKEA,,,,,0.15,3,0.45,https://www.digikey.ca/en/products/detail/vishay-dale/CRCW08051K00FKEA/1175637
D2,LED green,WP4060GD,,,,,0.45,1,0.45,https://www.digikey.ca/en/products/detail/kingbright/WP4060GD/2075393
D3,LED yellow,WP4060YD,,,,,0.5,1,0.5,https://www.digikey.ca/en/products/detail/kingbright/WP4060YD/2075396
C1,Capacitor,CL21A105KBCLNNC,,,,,0.22,1,0.22,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL21A105KBCLNNC/3888054?gclsrc=aw.ds&gad_source=1&gad_campaignid=17336435733&gbraid=0AAAAADrbLlhD1ifvgtPEXC3Y3Rhu8QSHf&gclid=CjwKCAjwzLHPBhBTEiwABaLsSkUJoxoe283HSAJx-GYqh1e93D5yeYz3VTB19PBu3D2CFnScmu2VIxoCF3UQAvD_BwE
PCB,PCB including shipping,,,,,,4.78,1,4.78,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010
Battery,Battery,Lithium-Ion Polymer (LiPo) Battery (3.7V 400mAh),,,,,6.99,1,6.99,https://www.canadarobotix.com/collections/rechargeable-battery/products/940
J1,Battery connector,61300211121,,,,,0.19,1,0.19,https://www.digikey.ca/en/products/detail/w-rth-elektronik/61300211121/4846823?gclsrc=aw.ds&gad_source=1&gad_campaignid=23152963569&gbraid=0AAAAADrbLlh8wgbAw-GnNi9bmbpo9wjk0&gclid=Cj0KCQjwzqXQBhD2ARIsAKrIeU-32OBIJJu7fzqzueZQmI2IGxNYWLkXd7q6px3EKQ3myLTZ7ErSESMaApbmEALw_wcB
J2,Programming,61300411121,,,,,0.27,1,0.27,https://www.digikey.ca/en/products/detail/w-rth-elektronik/61300411121/4846827?gclsrc=aw.ds&gad_source=1&gad_campaignid=23152963569&gbraid=0AAAAADrbLlh8wgbAw-GnNi9bmbpo9wjk0&gclid=Cj0KCQjwzqXQBhD2ARIsAKrIeU8JHIWipxsGsGBxjq6t-sbcXhB8sSesj9_wzaBFqoquNF4VNJDTrW0aAobkEALw_wcB
,shipping for the other parts,,,,,,around 8,,,
